"contactID","timestamp","customerID","cuJob","cuPhone","q1OverallSat","q2AgentFriendliness","q3UnderstandingIssues","q4Timeliness","q5Variety","q6Resolution","q7Pricing"
"PH10-5041-tisy-79946290","2008-07-25 00:50:50","CU10-65739-78179-79043-1727","Therapist, speech and language","(872)695-0471",5,10,9,10,3,6,8
"PH10-91858-78455-73808-2879","2014-04-22 07:36:57","CU10-336-bxgq-31620558","Orthoptist","09929129505",10,10,8,2,2,10,10
"PH10-69658-82092-65549-4193","2017-06-15 05:30:44","CU10-42745-spmr-66051739","Industrial/product designer","670-388-3082x3418",8,3,9,1,8,9,1
"PH10-60907-trco-30902605","2008-04-14 02:41:23","CU10-50725-52339-96893-7542","Surveyor, hydrographic","+90(2)5474289127",9,3,9,8,3,9,10
"PH10-14693-19746-19301-4142","1934-09-02 06:39:16","CU10-80981-yebn-53754697","Museum/gallery exhibitions officer","396.463.5408",8,1,8,6,3,10,10
"PH10-99882-94395-59330-7339","1952-01-13 03:37:25","CU10-54431-32855-29689-8435","Health and safety adviser","992.957.6767x0677",8,1,10,8,3,10,10
"PH10-314-10873-21565-1239","1977-10-10 09:10:13","CU10-59708-kwac-49360043","Theatre director","804.280.8195x8842",9,2,10,10,3,9,2
"PH10-13340-kqvh-10524395","1984-12-04 09:48:22","CU10-14543-zwfc-76977168","Engineer, manufacturing systems","361.808.7107x3931",8,10,9,6,10,9,2
"PH10-5496-ligp-78389630","2004-06-28 13:30:36","CU10-39912-35017-30820-2929","Maintenance engineer","530-738-8840",9,1,10,9,9,10,7
"PH10-27293-65936-38090-9359","2001-07-02 20:08:23","CU10-97093-rvzt-97034380","Ranger/warden","1-568-102-9958x980",7,4,2,6,9,5,10
"PH10-61359-agsw-96011843","1941-04-16 23:25:42","CU10-64561-73130-17063-449","Archaeologist","674.338.9279x2499",8,6,9,1,2,5,10
"PH10-14147-hawj-97705355","2016-06-08 15:43:57","CU10-26136-dquh-32020189","Transport planner","057.718.9297",9,2,4,1,3,9,10
"PH10-76174-70308-76412-1654","1974-09-07 14:15:46","CU10-14370-78071-90725-6384","Materials engineer","(939)015-0965x43463",9,10,10,6,8,9,9
"PH10-66924-uvbp-84589344","1932-03-21 16:09:35","CU10-89153-frce-2737063","Editor, film/video","08642784615",9,2,10,1,2,10,2
"PH10-60221-8918-65759-3387","1951-12-02 11:35:04","CU10-89206-65760-39141-5405","Pharmacist, hospital","763-186-7451x044",8,3,9,1,8,7,10
"PH10-36422-yota-3982639","1967-08-05 23:19:25","CU10-89085-bwux-84422286","Physicist, medical","1-454-137-9691x3332",6,3,10,3,2,7,2
"PH10-25326-qktc-99449727","1978-12-24 20:59:45","CU10-19591-sbyr-45647455","Psychiatric nurse","(737)809-9240x32070",9,6,8,1,3,7,2
"PH10-74772-njow-21585944","1966-10-14 06:50:06","CU10-83186-maqx-95030973","Magazine journalist","+68(5)0598877686",5,10,10,8,5,10,4
"PH10-82875-wyvf-22344859","2012-11-19 16:16:09","CU10-77565-atvz-61660744","Logistics and distribution manager","(083)507-5383x07725",8,1,10,7,3,6,2
"PH10-83822-zmao-83038606","1942-04-02 14:52:36","CU10-6135-27527-4641-1744","Surgeon","(093)838-7012x62260",9,3,6,2,10,6,10
"PH10-6116-42085-55154-8178","1948-07-18 01:04:45","CU10-78389-15751-95467-4290","Petroleum engineer","1-529-296-4877x3220",9,10,10,10,9,7,2
"PH10-57311-haig-97402375","1938-03-22 23:20:41","CU10-41067-kxjn-92747186","Mining engineer","1-140-102-9507",6,7,9,6,9,6,10
"PH10-96486-wcoi-67488678","1990-02-15 03:45:54","CU10-89154-9004-55165-7381","Product/process development scientist","+82(1)2718051460",9,8,3,10,3,6,10
"PH10-84385-20957-50991-4009","2010-04-11 01:04:41","CU10-62962-11498-2224-2040","Museum/gallery conservator","768-269-3853",5,7,9,8,10,5,8
"PH10-30768-7905-94682-3848","2013-11-28 07:02:17","CU10-80676-wxnv-54026461","Land","(510)014-4090x1622",9,2,4,2,10,7,10
"PH10-77753-48463-92951-593","1970-09-21 19:25:10","CU10-46564-68380-40985-3134","Oncologist","1-596-310-6024x7035",9,1,8,6,9,6,2
"PH10-33727-ymwh-59905226","1999-02-20 20:32:00","CU10-55124-gins-8127856","Product designer","(036)985-8106x51927",5,3,10,1,9,10,9
"PH10-44111-oxug-84356022","2004-08-04 01:46:11","CU10-57142-94753-22074-7999","Event organiser","508.213.7346x1099",8,6,10,6,3,7,10
"PH10-5783-88483-51247-8065","1979-10-17 20:16:02","CU10-60777-ksfi-89156670","Nurse, mental health","905-579-4169x6766",9,1,2,4,8,5,10
"PH10-71064-28536-46547-7320","1985-09-22 04:30:51","CU10-87956-88219-60282-5782","Publishing copy","(503)336-0665x892",3,6,8,10,9,6,1
"PH10-1126-59903-71338-4712","1963-02-17 04:13:05","CU10-20212-blox-31327587","IT trainer","03109164691",9,1,8,10,2,7,2
"PH10-41116-63953-5718-5725","1927-09-22 12:41:38","CU10-50031-94644-15525-4794","Research officer, government","563-373-1084x616",9,9,8,6,9,6,3
"PH10-97072-deyk-20390054","1980-12-11 20:21:04","CU10-68964-ocfy-22961623","Surveyor, quantity","136.203.5512x33624",7,9,10,1,10,7,5
"PH10-24939-88618-69205-9173","2009-03-17 13:48:47","CU10-63344-ftcz-29791024","Ranger/warden","1-941-552-1841x8578",9,5,9,10,8,6,10
"PH10-92711-57363-79921-3074","1930-12-08 12:57:17","CU10-24762-39812-70223-1396","Lobbyist","530-478-1487x8838",8,1,4,6,9,6,2
"PH10-94493-bage-68857448","1929-05-06 13:48:12","CU10-95573-dyfm-1721896","Administrator, arts","+83(2)2015371854",8,9,5,2,8,9,10
"PH10-70180-etdp-52027285","2010-04-08 20:30:09","CU10-86909-43924-60526-6887","Chemist, analytical","111-161-1802x0294",8,9,10,6,3,4,9
"PH10-92836-rdjg-80525788","1965-08-20 20:42:10","CU10-54076-mbrk-43431737","Chief Strategy Officer","1-530-637-2602x730",8,2,9,8,9,5,2
"PH10-1685-39935-38887-4631","1953-06-28 02:28:59","CU10-98403-16203-5851-7612","Chief Strategy Officer","+14(8)8219682754",9,1,10,10,9,9,9
"PH10-87151-94462-27362-6786","2002-06-22 09:21:41","CU10-23065-52131-23160-1386","Administrator","1-707-348-0379",9,10,9,10,1,10,2
"PH10-94358-enpc-3820868","1933-06-07 00:54:14","CU10-25236-lqcx-47797281","Theatre director","543.971.2303",9,9,9,5,7,10,2
"PH10-27248-53199-94599-9057","1925-04-05 16:41:58","CU10-54917-qsno-46868541","Immigration officer","(837)452-8609x803",4,9,10,5,8,7,10
"PH10-25819-mbfc-7997964","2015-12-01 04:19:55","CU10-36639-21288-50186-7453","Press photographer","364-917-3544x5092",8,1,10,4,3,7,9
"PH10-96386-79778-54218-4611","1976-08-12 09:49:54","CU10-72596-nzmc-61720027","Hospital doctor","034.610.9192x626",9,3,9,6,10,10,9
"PH10-14663-99056-2706-6106","1991-10-21 19:51:18","CU10-67490-74754-38307-1859","Engineering geologist","+18(2)3382988900",8,7,10,6,10,7,2
"PH10-81308-tpmg-12418934","1934-09-21 02:58:52","CU10-1229-prbl-91653160","Production assistant, radio","(155)423-4459x85456",9,1,10,6,9,7,3
"PH10-416-ufqr-23832787","1992-04-21 20:05:45","CU10-80063-boeg-51297492","Public house manager","1-135-359-0249x6019",8,1,10,10,10,10,9
"PH10-13371-17701-48330-6396","1977-04-07 12:43:44","CU10-16041-68160-37444-1034","Surveyor, insurance","261.366.2141x515",9,3,8,10,6,9,7
"PH10-69398-athw-19539838","1991-02-03 17:34:30","CU10-94274-skbj-39197774","Police officer","1-550-169-7793x543",3,9,10,1,9,4,9
"PH10-11122-jtzk-10734514","1944-10-03 00:28:34","CU10-26773-wkjz-28005734","Equities trader","1-053-549-4206",8,10,4,2,9,9,2
"PH10-85053-69469-35839-3798","1947-10-14 05:58:36","CU10-54244-25777-49162-4769","Horticulturist, amenity","(153)759-7070",7,2,8,10,9,6,2
"PH10-441-93108-68973-2601","2007-12-12 03:05:39","CU10-43458-vnif-2861330","Broadcast presenter","(589)978-8454x6329",8,9,10,10,10,6,9
"PH10-90485-hxgk-70764510","1939-04-11 02:07:55","CU10-44275-zqvx-11458821","Firefighter","1-672-143-8415",6,2,9,1,10,10,10
"PH10-50101-bgse-88109294","1999-02-04 01:45:26","CU10-83384-37967-93202-7841","Magazine features editor","03257690591",8,3,10,6,9,5,2
"PH10-66952-ecdi-21574412","1976-10-30 06:55:26","CU10-90605-4041-63643-8732","Firefighter","293.303.0807x327",8,9,9,10,9,9,9
"PH10-3319-28930-57792-481","1929-03-22 16:42:11","CU10-20057-26566-46359-2882","Technical sales engineer","647.974.8398x1146",9,10,9,10,9,4,9
"PH10-73889-kczy-3056959","1938-05-23 03:20:08","CU10-34008-kxtl-6584993","Radiographer, therapeutic","(057)698-2566",4,10,10,10,7,10,2
"PH10-24626-51684-56799-4520","1998-02-11 00:35:28","CU10-28166-tdho-65193050","Quarry manager","773-930-3116",7,3,10,10,3,7,2
"PH10-76544-jwre-18128950","1977-01-02 09:38:32","CU10-23477-azmn-2368974","Careers information officer","190-277-4106x67202",9,3,10,10,9,6,8
"PH10-90900-iewj-61353532","1979-08-07 09:43:06","CU10-13007-51109-12572-4778","Designer, interior/spatial","485-642-0993x93909",5,10,10,5,3,6,10
"PH10-33589-1343-15620-1369","1978-02-25 02:15:56","CU10-6276-92446-57217-8475","Archaeologist","05356563912",10,3,8,1,4,10,10
"PH10-82327-pmoh-64459489","1922-06-06 06:46:09","CU10-78576-65596-64722-5883","Electrical engineer","1-459-147-0696",9,10,9,1,7,6,10
"PH10-79491-30097-19866-5128","2012-07-07 21:05:55","CU10-7587-wavq-25031988","Ambulance person","203.483.4658",9,1,7,10,9,10,5
"PH10-86596-22375-93054-8365","1930-12-24 16:09:27","CU10-13085-ypqu-57861919","Photographer","900-310-8991x841",9,10,10,6,3,9,10
"PH10-68502-ongb-95360174","1928-01-05 09:41:05","CU10-22762-akfo-68667104","Intelligence analyst","1-989-485-5843",8,1,9,10,8,10,9
"PH10-25667-11997-85500-608","1985-05-28 22:25:10","CU10-57617-jdru-16488610","Chartered management accountant","1-092-897-0522x12043",3,1,9,10,3,6,10
"PH10-18562-bmiq-76313444","1962-02-18 20:25:49","CU10-92334-83541-24755-6351","Information officer","06545231206",8,9,10,10,3,10,10
"PH10-92795-45463-85172-8782","1944-08-05 12:49:43","CU10-54224-71165-70115-6381","Programmer, systems","1-048-924-8023x468",9,1,8,1,6,5,10
"PH10-52853-62305-52307-6684","1995-06-17 19:28:07","CU10-57145-96091-23495-9344","Teacher, primary school","683-383-0279x035",8,1,9,10,9,7,7
"PH10-89702-83947-61637-1409","2013-05-11 17:51:51","CU10-91822-cwzq-19738368","Surveyor, quantity","481-070-6860",8,9,8,10,9,9,10
"PH10-41958-90220-68853-2495","1922-08-17 03:43:16","CU10-29757-32851-24640-3905","Education officer, environmental","735.010.4611x72271",8,3,5,2,10,6,2
"PH10-45927-84181-69571-2757","2001-02-02 23:48:34","CU10-3893-cgfz-275073","Engineer, chemical","1-301-894-0693",8,1,9,10,9,7,8
"PH10-27125-36742-34148-2794","1983-03-09 00:38:56","CU10-60254-49397-58992-7424","Oceanographer","1-635-573-9955x2710",8,7,9,8,9,9,6
"PH10-22809-edqg-96234958","2003-01-19 09:44:44","CU10-36945-ptdy-31588560","Higher education careers adviser","(088)490-2056x400",9,9,9,6,8,10,10
"PH10-75168-91695-71581-498","1927-09-01 23:02:42","CU10-41152-88075-11738-2117","Newspaper journalist","07856564651",7,1,10,10,3,6,10
"PH10-55179-mgqw-19622795","1951-01-12 13:55:03","CU10-19505-eiqh-64264782","Therapist, music","+54(1)0877249579",5,10,10,10,10,6,10
"PH10-92304-uktc-39637554","1929-09-26 15:12:19","CU10-92721-32249-4409-9256","Warehouse manager","07939095265",5,1,10,10,9,9,10
"PH10-29282-27129-62890-6895","2007-10-27 16:58:40","CU10-10101-pxgd-12479773","Theatre stage manager","1-268-795-6324x93834",9,10,9,10,3,7,2
"PH10-48679-96444-94978-421","1924-04-20 15:43:02","CU10-60749-dpua-15874835","Pharmacist, hospital","(304)974-3449",9,3,10,1,2,9,10
"PH10-25467-93932-81076-3047","1998-06-12 08:37:14","CU10-9529-73578-63880-791","Rural practice surveyor","517-907-1961x9495",6,10,9,8,5,9,10
"PH10-51734-12496-96145-4941","1988-08-07 03:19:48","CU10-38216-fpcl-68219391","Geochemist","(711)957-7804x21277",9,3,9,10,8,9,2
"PH10-88667-tnuf-63337374","1925-01-08 17:43:12","CU10-66241-75921-28939-447","Market researcher","(712)272-2569x77614",9,10,8,1,3,3,10
"PH10-99658-jdnz-23114193","1984-02-04 11:25:44","CU10-27400-udoj-96817881","Loss adjuster, chartered","255.457.7048",8,7,5,6,3,6,6
"PH10-42728-3451-46793-2517","1937-08-25 16:22:37","CU10-47810-19432-99602-7059","Colour technologist","319.850.0693x67316",8,1,10,9,10,7,2
"PH10-41961-50181-73772-627","2009-11-27 22:15:28","CU10-84491-87642-60123-3777","Exhibition designer","253.415.5763x837",1,10,10,6,9,5,3
"PH10-54445-fvcg-76027185","2000-05-27 21:26:06","CU10-48093-dlux-62441483","Surveyor, land/geomatics","712-909-3374",9,3,6,9,3,5,10
"PH10-10116-94742-15377-4063","1956-03-07 13:00:21","CU10-6224-56577-35764-4913","Firefighter","(434)127-5689",8,3,8,1,10,5,9
"PH10-48088-1749-96495-1812","1972-05-03 21:48:41","CU10-82280-19444-28523-5825","Editor, magazine features","1-931-562-7715x50271",8,1,7,6,9,8,2
"PH10-78170-20827-13596-2892","1981-01-02 21:20:50","CU10-45090-drzf-93365377","Pilot, airline","441.851.7300",9,9,10,4,10,10,9
"PH10-16288-wszv-15960188","1969-05-08 09:39:39","CU10-85909-51118-29643-2158","Purchasing manager","745-957-4602x906",10,3,9,10,3,9,10
"PH10-44537-ihld-95478962","1922-01-17 05:02:40","CU10-63289-1324-61123-8735","Adult nurse","776.509.5591x206",9,1,10,10,3,10,9
"PH10-40861-22133-56253-4452","1926-12-25 05:50:49","CU10-3096-lqpw-42936582","Engineer, drilling","341.146.7448",2,9,10,2,1,7,9
"PH10-5271-51031-55212-4815","1983-08-29 09:28:42","CU10-4570-hegq-81860823","Senior tax professional/tax inspector","264-609-1746",3,9,10,10,10,10,2
"PH10-65796-26112-39463-6506","1936-07-15 06:40:37","CU10-11890-58051-76930-2051","Tax inspector","(285)052-3074x988",8,9,10,6,9,7,2
"PH10-51507-72010-8889-6770","1977-12-08 10:20:17","CU10-57907-96657-62840-2628","Hydrographic surveyor","485-280-1831",9,1,10,10,2,6,4
"PH10-56530-26810-36863-5294","2004-10-07 08:57:39","CU10-68029-apuw-30860239","Production engineer","461.754.6422x70258",8,10,8,3,5,1,2
"PH10-35942-56597-82767-7147","2014-08-11 11:27:51","CU10-93892-eavy-19333893","Lawyer","237.608.2816x7885",8,9,9,10,8,6,10
"PH10-82357-gams-56535885","1973-09-19 02:14:10","CU10-38207-jarh-98350067","Chartered public finance accountant","+37(5)4943867017",9,2,8,8,10,9,10
"PH10-32969-yuqp-53761867","1952-10-08 06:32:38","CU10-59046-35487-78345-2818","Editor, film/video","003.880.5873",8,1,6,1,4,3,7
"PH10-46661-wizn-64696378","1963-02-28 01:16:12","CU10-43858-43196-34002-4399","Analytical chemist","404.527.6155",9,10,8,8,9,10,2
"PH10-37279-23011-96960-9328","1968-04-07 17:59:39","CU10-5348-37572-73089-5048","Equities trader","1-772-925-5255",9,8,9,10,9,6,2
"PH10-36422-32859-54289-688","1966-12-30 02:41:59","CU10-12243-zuer-93558427","Chief Financial Officer","043.992.6045",1,3,7,6,3,6,9
"PH10-25098-trmn-12481381","1964-06-27 02:20:10","CU10-82214-bfao-61106840","Oceanographer","1-772-937-2068",9,2,10,1,10,6,2
"PH10-9311-afxj-93448190","1996-11-25 03:45:31","CU10-56556-jkvn-37420593","Sales promotion account executive","862-618-5920",9,3,9,10,8,6,10
"PH10-12774-gidy-20278957","1970-08-03 06:44:54","CU10-71948-21715-98440-2975","Air broker","787.692.9563",8,2,4,1,9,6,2
"PH10-13130-saqk-81672106","1982-12-03 21:41:28","CU10-67134-85927-76342-2514","Surveyor, land/geomatics","351.843.1160",3,1,10,10,3,10,9
"PH10-51212-xscd-46603071","2007-10-12 03:26:43","CU10-90772-gfjd-98205678","Editor, film/video","203.661.0704x7734",9,10,10,10,7,9,10
"PH10-2580-gtcl-11285115","1984-03-24 00:45:42","CU10-27138-xzct-65387665","Production assistant, television","649-283-6398x621",9,1,7,10,8,9,9
"PH10-46117-easp-63883939","2007-11-02 06:25:55","CU10-31092-14489-56903-6660","Transport planner","350-056-1381x6819",8,3,9,10,8,9,2
"PH10-16208-5421-25650-1477","2017-08-01 23:00:02","CU10-58926-75701-11502-4587","Therapist, drama","313.522.6579",8,3,10,7,10,7,10
"PH10-33117-wfsc-59929113","1955-04-09 05:06:38","CU10-53810-boxh-74716950","Public librarian","1-003-937-0330",9,9,9,1,1,10,3
"PH10-55872-hpkq-81018317","1966-11-04 09:24:21","CU10-24537-zakg-92717594","Animal technologist","1-917-627-4205",9,3,9,10,10,7,2
"PH10-18554-axmv-61838894","1922-05-22 04:54:12","CU10-29907-81213-36127-4289","Buyer, retail","(925)261-2129x697",8,2,7,6,8,9,9
"PH10-77684-uioc-19220900","1948-08-29 08:34:59","CU10-75175-23132-9199-7251","Nature conservation officer","512.941.1057",8,10,8,9,3,6,2
"PH10-82628-18749-41177-3817","1956-04-19 03:01:35","CU10-13658-91462-89473-5435","Chief Operating Officer","318-655-6076x2736",9,1,9,9,10,7,9
"PH10-11584-xihm-13708263","1936-01-30 04:59:35","CU10-14226-dyov-15206446","Recycling officer","586-105-8883x157",10,10,9,10,1,5,9
"PH10-22995-36167-34216-5530","1944-05-22 16:50:56","CU10-19428-42873-28935-3225","IT sales professional","384.328.1155x30757",9,3,10,5,2,5,2
"PH10-18390-9806-90107-1894","1975-12-01 16:32:07","CU10-19975-23045-93429-3537","Futures trader","+46(5)8863604704",9,9,8,10,10,7,2
"PH10-11210-mhlq-209749","1925-09-24 20:12:35","CU10-76183-sphi-60241487","Tourism officer","1-248-471-3106",9,2,10,6,3,5,10
"PH10-52415-qnzw-51677001","1970-02-24 16:42:22","CU10-51641-vear-43607442","Regulatory affairs officer","028.382.1634",1,1,9,6,4,3,9
"PH10-39013-aivm-9863210","1931-09-23 09:41:08","CU10-82368-60337-30143-4846","Local government officer","504-759-5681",9,1,10,6,3,3,9
"PH10-19213-73029-82550-3640","1939-09-06 15:50:38","CU10-72877-aovw-14129099","Banker","539-929-7112x660",9,2,10,10,3,9,10
"PH10-15557-25615-52181-3657","1992-05-17 07:41:00","CU10-89105-59164-30619-4639","Therapist, sports","1-096-994-9087x723",9,1,9,7,10,5,1
"PH10-61798-qgoz-55759599","1937-06-16 10:38:16","CU10-65761-19762-51498-9967","Electrical engineer","1-017-300-0858",8,3,10,2,6,10,2
"PH10-61934-23186-94056-7840","1989-09-26 11:52:44","CU10-15966-nlym-44184364","Civil Service administrator","239-702-7522",8,5,8,1,9,1,9
"PH10-66565-28161-46734-6005","1943-10-15 03:59:02","CU10-83921-8067-72434-7550","Programmer, systems","256-653-1573",9,1,10,8,9,7,9
"PH10-90962-wkgy-24461383","1952-09-16 21:48:48","CU10-42078-73721-1777-4258","Market researcher","229-360-9146x0342",9,10,4,6,6,6,9
"PH10-24404-cdqs-47893168","1990-06-08 08:34:05","CU10-96346-urzd-83426164","Purchasing manager","1-824-950-3342x315",8,3,8,1,10,5,4
"PH10-17095-44077-49079-4272","1925-04-05 06:51:53","CU10-72494-ibky-96389867","Engineer, manufacturing","+49(2)9045473589",3,1,6,10,8,9,2
"PH10-62868-zunt-56065833","1941-11-05 20:24:48","CU10-76466-jmvo-56740150","Systems analyst","1-814-348-9382",8,2,7,6,9,10,9
"PH10-16919-48973-60824-4973","1930-02-20 05:39:09","CU10-58135-fxlp-44318670","Visual merchandiser","978-909-0134",7,3,10,10,5,9,9
"PH10-65072-79150-66032-8344","1980-06-24 15:03:18","CU10-38761-80285-93551-4595","Warehouse manager","1-744-715-1511x112",9,9,10,1,8,5,9
"PH10-57833-wsgu-74369432","1950-09-20 17:36:35","CU10-67509-86745-44592-1424","Market researcher","373.598.4740",9,1,10,6,3,9,2
"PH10-8074-nvxk-61957253","1970-09-10 02:34:04","CU10-91056-lytu-47533809","Curator","313.514.9401x49639",8,3,10,10,3,9,10
"PH10-96349-ivfx-32117822","1937-04-13 16:41:12","CU10-58390-9330-27381-3858","Public house manager","000.055.9324x875",9,3,2,1,2,5,9
"PH10-92127-rvmb-24693409","1981-10-13 07:16:28","CU10-51655-dcfw-43627991","Nurse, children's","055.414.5395",9,1,9,9,10,5,9
"PH10-59910-49411-84666-1663","1939-06-15 06:41:22","CU10-42744-fzyi-85601972","Therapist, art","(692)327-7089x2970",8,9,1,7,9,6,9
"PH10-66201-bdle-69820564","1996-09-13 18:45:43","CU10-29117-56177-25175-1542","Furniture conservator/restorer","1-829-575-7754x26138",9,10,6,9,3,9,2
"PH10-43873-wfta-89720872","1964-02-03 11:38:34","CU10-64565-96515-7145-3939","Multimedia programmer","333.840.5396",8,10,7,1,3,5,10
"PH10-15173-ngmd-89936818","1987-09-20 05:43:11","CU10-81865-tvwm-55320384","Tax adviser","(733)503-5344x9699",8,10,10,3,10,9,10
"PH10-55873-94594-72669-1800","1922-12-26 01:25:01","CU10-19831-24553-19915-6165","Civil engineer, contracting","253.302.7262x49829",8,9,8,6,8,10,9
"PH10-27883-qtdp-89886675","2000-08-30 15:56:51","CU10-91733-pgst-92133909","Sports therapist","1-033-916-8546x434",8,2,9,10,9,4,5
"PH10-82203-73030-83963-6854","2006-06-01 15:19:50","CU10-92197-29579-4776-1201","Product manager","825.142.4766x9556",4,4,9,1,9,5,9
"PH10-23949-rlko-37539992","2001-06-24 01:28:11","CU10-73221-92060-26187-5670","Armed forces training and education officer","(654)137-3246",9,3,9,10,3,6,10
"PH10-75979-dbis-91525250","1939-03-01 14:08:13","CU10-87921-73294-24382-7350","Tax adviser","893.076.3109",5,2,8,10,8,5,3
"PH10-28799-rjcx-48752949","1943-04-10 15:00:18","CU10-7060-37047-57178-3031","Surveyor, building","+50(9)4257209492",7,9,10,1,3,9,1
"PH10-5160-glyp-33409501","1966-02-17 04:28:01","CU10-27640-cuza-68938539","Buyer, industrial","+02(8)1525326911",9,1,8,1,3,7,10
"PH10-18451-88782-6505-8906","1927-12-15 23:17:25","CU10-11686-51593-42171-1281","Research scientist (physical sciences)","416-283-1833x378",8,1,8,5,3,7,7
"PH10-84950-awig-31019797","1967-04-07 01:25:59","CU10-8124-67410-3175-232","Scientific laboratory technician","874.582.4374x9380",8,10,10,8,10,5,9
"PH10-69738-uvzo-95618032","1944-05-28 04:20:22","CU10-17629-70190-43315-7204","Geophysicist/field seismologist","+55(0)4757190673",9,9,10,9,10,10,9
"PH10-67221-phjm-66749627","1976-06-17 20:41:00","CU10-43545-zqoi-89109369","Financial manager","(950)085-9645",8,9,10,7,8,6,9
"PH10-52095-61070-2417-1070","1950-06-27 04:51:43","CU10-15140-38232-5294-8740","Recycling officer","181.110.9454x44775",9,2,7,6,9,5,10
"PH10-50170-hzga-29367121","2013-11-02 13:59:27","CU10-99819-58898-90560-1434","Designer, jewellery","1-190-750-6081",6,2,6,7,9,5,10
"PH10-62650-20464-18209-9971","1948-01-31 21:18:36","CU10-53017-qkxn-72418116","Lobbyist","282.207.2726x4275",7,10,6,2,1,7,2
"PH10-49055-46707-89354-2272","1948-02-15 12:48:14","CU10-52624-ejzg-57719577","Education officer, environmental","1-477-515-1813x24860",9,2,10,9,3,9,9
"PH10-90354-zkvm-29652665","2016-04-08 09:11:40","CU10-49124-ginw-89638659","Mental health nurse","(693)205-3159x71055",9,3,10,8,3,10,10
"PH10-89148-14854-55430-8459","1935-09-08 17:40:02","CU10-99528-rmxb-48279217","Horticultural consultant","583-745-4822",4,3,9,10,9,5,9
"PH10-24861-qitb-63606557","2003-05-11 17:49:44","CU10-21514-949-60933-1064","Private music teacher","718.099.3924x7809",9,5,10,6,8,7,9
"PH10-91958-cqgp-4315222","2012-08-01 18:59:03","CU10-52473-31845-18804-9449","Engineer, mining","1-624-925-0938x58875",3,3,8,10,4,7,10
"PH10-64926-83478-65913-9443","1956-12-25 05:17:26","CU10-17752-79758-59266-9250","Make","(348)893-9164x277",9,10,8,6,3,5,10
"PH10-87182-30594-66398-7844","1932-05-30 12:05:58","CU10-264-ukhm-97986326","Nurse, adult","383-584-8744",4,3,8,10,5,9,10
